,,,,,,,,,,
,,,NEW YORK FED  ECONOMIC RESEARCH,,,,,,,
,,,,,,,,,,
,,,https://www.newyorkfed.org/research,,,,,,,
,,,,,,,,,,
State,Percent of borrowers (with payment due) at least 90 days past due (2020Q1),Percent of borrowers (with payment due) at least 90 days past due (2025Q1),,,,,,,,
Alabama,26.4,34.1,,,,,,,,
Alaska,19.9,23.6,,,,,,,,
Arizona,21.0,25.3,,,,,,,,
Arkansas,27.8,33.5,,,,,,,,
California,15.5,17.9,,,,,,,,
Colorado,16.1,20.5,,,,,,,,
Connecticut,15.6,14.5,,,,,,,,
Delaware,19.9,23.7,,,,,,,,
District of Columbia,10.5,15.8,,,,,,,,
Florida,22.3,20.1,,,,,,,,
Georgia,24.9,29.0,,,,,,,,
Hawaii,22.3,26.6,,,,,,,,
Idaho,18.1,22.0,,,,,,,,
Illinois,16.5,13.7,,,,,,,,
Indiana,20.4,28.0,,,,,,,,
Iowa,20.3,20.5,,,,,,,,
Kansas,19.4,26.1,,,,,,,,
Kentucky,27.0,33.6,,,,,,,,
Louisiana,27.0,31.8,,,,,,,,
Maine,14.1,15.3,,,,,,,,
Maryland,17.2,25.4,,,,,,,,
Massachusetts,11.0,14.0,,,,,,,,
Michigan,20.4,27.7,,,,,,,,
Minnesota,14.6,18.9,,,,,,,,
Mississippi,29.6,44.6,,,,,,,,
Missouri,23.6,28.7,,,,,,,,
Montana,16.8,19.0,,,,,,,,
Nebraska,14.9,20.0,,,,,,,,
Nevada,23.2,27.4,,,,,,,,
New Hampshire,13.6,14.8,,,,,,,,
New Jersey,13.7,19.9,,,,,,,,
New Mexico,24.6,28.5,,,,,,,,
New York,13.5,23.0,,,,,,,,
North Carolina,21.2,22.0,,,,,,,,
North Dakota,13.8,15.4,,,,,,,,
Ohio,20.9,28.1,,,,,,,,
Oklahoma,26.9,33.6,,,,,,,,
Oregon,17.5,22.9,,,,,,,,
Pennsylvania,15.7,19.5,,,,,,,,
Puerto Rico,27.4,29.3,,,,,,,,
Rhode Island,15.9,22.2,,,,,,,,
South Carolina,24.6,20.1,,,,,,,,
South Dakota,12.3,15.1,,,,,,,,
Tennessee,22.2,29.0,,,,,,,,
Texas,20.4,29.7,,,,,,,,
Utah,14.7,19.0,,,,,,,,
Vermont,13.0,14.7,,,,,,,,
Virginia,16.6,23.5,,,,,,,,
Washington,14.7,21.1,,,,,,,,
West Virginia,26.0,34.0,,,,,,,,
Wisconsin,14.2,20.0,,,,,,,,
Wyoming,16.0,26.4,,,,,,,,
